碰到	(pèngdào) run into; give rise to
毕业	(bìyè) graduation
道德	(dàodé) morality
死记硬背	(sī jì yìng bèi) rote memorization
负面	(fùmiàn) negative
正面	(zhèngmiàn) positive
竞争	(jìngzhēng) competition; compete
批评	(pīpíng) criticize
有道理	(yǒudàoli) reasonable
显然	(xiǎnrán) obviously; clearly
训练	(xùnliàn) train
制度	(zhìdù) system
进入	(jìnrù) enter; get into
缺点	(quēdiǎn) shortcoming
有效	(yǒuxiào) effective
表现	(biǎoxiàn) performance (in school)
丰富	(fēngfù) enrich
经验	(jīngyàn) experience (in a particular job)
举行	(jǔxíng) hold (a ceremony)
存在	(cúnzài) exist; to be
讨厌	(tǎoyàn) hate; disgusted in
大量	(dàliàng) large number
精力	(jīnglì) energy; vigor
忽视	(hūshì) overlook; neglect
印象	(yìnxiàng) impression
儿童	[értóng] children
肥胖	(féipàng) fat; corpulent
体育	(tǐyù) sports
离婚	(líhūn) divorce
认真	(rènzhēn) serious; earnest
家务	(jiāwù) housework
和睦	(hémù) harmonious (household)
平均	(píngjūn) average
只顾	(zhǐgù) be preoccupied with (bad thing)
态度	(tàidu) attitude
正常	(zhèngcháng) normal; regular
直接拒绝	(zhíjiējùjué) directly reject
邻居	(línjū) neighbor
忽略	(hūlüè) ignore; neglect (didn't catch some issues)
大陆	(dàlù) mainland
造成	(zàochéng) give rise to
政策	(zhēngcè) rules; policy
增加	(zēngjiā) increase (transitive form [takes object])
增多	(zēngduō) increase (intransitive form [does not take object])
下降	(xiàjiàng) decrease (intransitive)
降低	(jiàngdī) decrease (transitive)
地位	(dìwéi) status
税	(shuì) taxes
分析	(fēnxi) analyze (analysis)
陪胖	(péiyǎng) cultivate
维持	(wéichí) sustain; keep
秩序	(zhìxù) order; sequence
矛盾	(máodùn) contradiction; conflict
保留	(bǎoliú) continue to have
交往	(jiāowǎng) association (human-to-human)
来往	(láiwǎng) assocation (government-to-government)
变化	(biànhuà) change (transformation)
吵架	(chǎojià) quarrel
决定	(juédìng) determine
资源	(zīyuán) natural resources
接触	(jiēchù) come into contact with
声调	(shēngdiào) tones
忍受	(rěnshòu) endure; bear
重视	(zhòngshì) pay attention to
的确	(díquè) indeed; really
方面	(fāngmiàn) aspect; side
