制造	manufacture; make (zhìzào)
礼物	present; gift (lǐwù)
送	give a present (sòng)
尴尬	awkward; embarrassed (gāngà)
工厂	factory (gōngchǎng)
鞋子	shoe (xiézi)
箱子	luggage; box; case; trunk; suitcase (xiāngzi)
家具	furniture (jiājù)
质量	quality (zhìliàng)
丰富	rich; abundant (fēngfù)
资源	natural resources; resources (zīyuán)
廉价	low-priced; cheap (liánjià)
劳动力	labor force (láodònglì)
安定	stable; quiet; settled (āndìng)
公司	company; corporation (gōngsī)
设	set up; establish (shè)
工人	manual worker; workman (gōngrén)
失业	lose one's job (shīyè)
欧洲	Europe (ōuzhōu)
发展中国家	developing country (fāzhǎnzhōngguójiā)
可能	probably; maybe; possibility (kěnéng)
就业	obtain employment (jiùyè)
降低	reduce; drop; lower (jiàngdī)
商品	commodity, merchandise (shāngpǐn)
使	enable; make (shǐ)
享受	enjoy (xiǎngshòu)
物美价廉	excellent quality at low prices, a bargain buy (wùměi jiàlián)
提高	raise; heighten; increase (tígāo)
水平	standard; level (shuǐpíng)
经济	economy (jīnjì)
贡献	contribution, contribute (gòngxiàn)
